constraint,source_table,source_columns,target_table
FK_MortgageCosts_Users_UpdatedBy,Crm.MortgageCosts,UpdatedBy,Crm.Users
FK_MortgageInsurances_Users_CreatedBy,Crm.MortgageInsurances,CreatedBy,Crm.Users
FK_MortgageInsurances_Users_DeletedBy,Crm.MortgageInsurances,DeletedBy,Crm.Users
FK_MortgageInsurances_Users_UpdatedBy,Crm.MortgageInsurances,UpdatedBy,Crm.Users
FK_MortgageLogs_Users_CreatedBy,Crm.MortgageLogs,CreatedBy,Crm.Users
FK_MortgageLogs_Users_DeletedBy,Crm.MortgageLogs,DeletedBy,Crm.Users
FK_MortgageLogs_Users_UpdatedBy,Crm.MortgageLogs,UpdatedBy,Crm.Users
FK_MortgagePledgeVehicleBrandModels_Users_CreatedBy,Crm.MortgagePledgeVehicleBrandModels,CreatedBy,Crm.Users
FK_MortgagePledgeVehicleBrandModels_Users_DeletedBy,Crm.MortgagePledgeVehicleBrandModels,DeletedBy,Crm.Users
FK_MortgagePledgeVehicleBrandModels_Users_UpdatedBy,Crm.MortgagePledgeVehicleBrandModels,UpdatedBy,Crm.Users
FK_MortgageTypes_Users_CreatedBy,Crm.MortgageTypes,CreatedBy,Crm.Users
FK_MortgageTypes_Users_DeletedBy,Crm.MortgageTypes,DeletedBy,Crm.Users
FK_MortgageTypes_Users_UpdatedBy,Crm.MortgageTypes,UpdatedBy,Crm.Users
FK_Mortgages_Users_CreatedBy,Crm.Mortgages,CreatedBy,Crm.Users
FK_Mortgages_Users_DeletedBy,Crm.Mortgages,DeletedBy,Crm.Users
FK_Mortgages_Users_UpdatedBy,Crm.Mortgages,UpdatedBy,Crm.Users
FK_Nationalities_Users_CreatedBy,Crm.Nationalities,CreatedBy,Crm.Users
FK_Nationalities_Users_DeletedBy,Crm.Nationalities,DeletedBy,Crm.Users
FK_Nationalities_Users_UpdatedBy,Crm.Nationalities,UpdatedBy,Crm.Users
FK_NotaryLists_Users_CreatedBy,Crm.NotaryLists,CreatedBy,Crm.Users
FK_NotaryLists_Users_DeletedBy,Crm.NotaryLists,DeletedBy,Crm.Users
FK_NotaryLists_Users_UpdatedBy,Crm.NotaryLists,UpdatedBy,Crm.Users
FK_NotaryResults_Users_CreatedBy,Crm.NotaryResults,CreatedBy,Crm.Users
